Date,Open,High,Low,Close,Adj Close,Volume
2014-03-24,161000.000000,167000.000000,160800.000000,166800.000000,164800.203125,475420
2014-03-25,162200.000000,163800.000000,157400.000000,158400.000000,156500.937500,1275615
2014-03-26,159400.000000,160200.000000,154000.000000,159400.000000,157488.921875,818290
2014-03-27,153400.000000,155800.000000,151800.000000,154600.000000,152746.484375,1545280
2014-03-28,153600.000000,157000.000000,153000.000000,156000.000000,154129.687500,966525
2014-03-31,156200.000000,156800.000000,153200.000000,154800.000000,152944.078125,791615
2014-04-01,154000.000000,156800.000000,153600.000000,156000.000000,154129.687500,794020
2014-04-02,158600.000000,162200.000000,157800.000000,161000.000000,159069.765625,1046645
2014-04-03,161400.000000,163000.000000,159600.000000,160600.000000,158674.546875,617495
2014-04-04,155800.000000,159200.000000,155800.000000,158000.000000,156105.718750,807795
2014-04-07,152800.000000,153800.000000,147200.000000,147800.000000,146028.000000,2216160
2014-04-08,144600.000000,149800.000000,144000.000000,148400.000000,146620.781250,1378530
2014-04-09,151800.000000,152200.000000,149600.000000,149600.000000,147806.421875,791085
2014-04-10,155000.000000,155400.000000,151200.000000,153000.000000,151165.656250,965750
2014-04-11,147000.000000,148800.000000,146800.000000,148200.000000,146423.218750,864155
2014-04-14,147600.000000,150400.000000,147000.000000,148600.000000,146818.421875,498540
2014-04-15,149600.000000,150200.000000,146200.000000,146800.000000,145039.984375,574750
2014-04-16,148000.000000,150600.000000,147600.000000,150000.000000,148201.609375,620550
2014-04-17,150000.000000,150000.000000,146000.000000,147400.000000,145632.781250,722455
2014-04-18,147800.000000,151000.000000,147600.000000,150000.000000,148201.609375,603895
2014-04-21,150400.000000,151800.000000,149800.000000,151400.000000,149584.828125,242835
2014-04-22,154800.000000,158600.000000,153400.000000,158600.000000,156698.515625,980430
2014-04-23,159600.000000,159600.000000,156000.000000,156000.000000,154129.687500,463815
2014-04-24,158000.000000,159400.000000,155000.000000,155400.000000,153536.890625,590015
2014-04-25,154000.000000,155200.000000,148800.000000,149600.000000,147806.421875,789190
2014-04-28,147400.000000,148000.000000,145400.000000,146800.000000,145039.984375,673275
2014-04-29,145400.000000,147800.000000,145200.000000,146000.000000,144249.578125,497225
2014-04-30,146800.000000,148600.000000,146000.000000,147600.000000,145830.406250,605870
2014-05-02,149400.000000,150200.000000,147800.000000,147800.000000,146028.000000,571285
2014-05-07,145200.000000,147000.000000,142000.000000,146200.000000,144447.203125,774105
2014-05-08,146400.000000,148000.000000,141000.000000,141000.000000,139309.531250,1460100
2014-05-09,139800.000000,141600.000000,135000.000000,138200.000000,136543.093750,2050740
2014-05-12,138600.000000,144600.000000,138600.000000,143800.000000,142075.953125,975105
2014-05-13,148000.000000,150000.000000,146400.000000,149800.000000,148004.015625,1029060
2014-05-14,148600.000000,151600.000000,147800.000000,151600.000000,149782.453125,790995
2014-05-15,152200.000000,155200.000000,151400.000000,152400.000000,150572.843750,1059100
2014-05-16,151400.000000,153000.000000,148800.000000,150400.000000,148596.828125,794875
2014-05-19,149600.000000,151000.000000,145400.000000,147000.000000,145237.593750,710300
2014-05-20,147200.000000,151400.000000,147200.000000,151200.000000,149387.250000,570380
2014-05-21,150000.000000,155800.000000,149800.000000,154600.000000,152746.484375,858625
2014-05-22,156000.000000,157600.000000,154400.000000,155600.000000,153734.453125,657120
2014-05-23,155600.000000,156000.000000,154400.000000,155200.000000,153339.281250,269580
2014-05-26,149800.000000,153200.000000,148400.000000,149000.000000,147213.640625,1047200
2014-05-27,148800.000000,152200.000000,148400.000000,151000.000000,149189.609375,674840
2014-05-28,151600.000000,155600.000000,151000.000000,155600.000000,153734.453125,608870
2014-05-29,155600.000000,156800.000000,153600.000000,154400.000000,152548.875000,531045
2014-05-30,154800.000000,156600.000000,151600.000000,151600.000000,149782.453125,566880
2014-06-02,151800.000000,153200.000000,151200.000000,152400.000000,150572.843750,252195
2014-06-03,151600.000000,152200.000000,148400.000000,151000.000000,149189.609375,564550
2014-06-05,154800.000000,155000.000000,148200.000000,148600.000000,146818.421875,530860
2014-06-09,151400.000000,154800.000000,150400.000000,153600.000000,151758.437500,673570
2014-06-10,153200.000000,157600.000000,151400.000000,156600.000000,154722.500000,725810
2014-06-11,157600.000000,160000.000000,156000.000000,157200.000000,155315.312500,748240
2014-06-12,158600.000000,160600.000000,157600.000000,159000.000000,157093.703125,592980
2014-06-13,158600.000000,158600.000000,156000.000000,157000.000000,155117.703125,287890
2014-06-16,155600.000000,158800.000000,154400.000000,158800.000000,156896.140625,271730
2014-06-17,158800.000000,158800.000000,155400.000000,156000.000000,154129.687500,374760
2014-06-18,155000.000000,155800.000000,152600.000000,155000.000000,153141.671875,373025
2014-06-19,155800.000000,157400.000000,153800.000000,155400.000000,153536.890625,373890
2014-06-20,155000.000000,157400.000000,155000.000000,157400.000000,155512.890625,499550
2014-06-23,158400.000000,165200.000000,157400.000000,165200.000000,163219.390625,1055270
2014-06-24,164400.000000,166600.000000,164000.000000,165000.000000,163021.781250,563600
2014-06-25,165600.000000,168000.000000,163400.000000,164400.000000,162428.968750,304000
2014-06-26,165000.000000,170000.000000,165000.000000,169800.000000,167764.250000,614250
2014-06-27,168000.000000,168800.000000,165600.000000,166400.000000,164405.000000,370995
2014-06-30,168400.000000,168400.000000,164800.000000,167000.000000,164997.812500,370645
2014-07-01,165600.000000,169800.000000,164800.000000,168800.000000,166776.234375,301305
2014-07-02,170600.000000,173000.000000,168600.000000,169400.000000,167369.031250,431020
2014-07-03,168000.000000,168000.000000,165400.000000,166000.000000,164009.796875,480000
2014-07-04,167000.000000,167400.000000,162000.000000,163800.000000,161836.156250,577380
2014-07-07,164000.000000,166200.000000,163200.000000,166200.000000,164207.406250,196635
2014-07-08,166200.000000,166400.000000,163000.000000,166200.000000,164207.406250,275140
2014-07-09,163000.000000,164000.000000,160600.000000,161000.000000,159069.765625,503765
2014-07-10,162400.000000,163600.000000,161000.000000,161400.000000,159464.953125,281975
2014-07-11,159800.000000,161400.000000,157600.000000,158600.000000,156698.515625,405115
2014-07-14,159200.000000,162200.000000,158600.000000,161600.000000,159662.546875,260800
2014-07-15,162800.000000,165600.000000,162400.000000,165400.000000,163416.984375,388640
2014-07-16,168600.000000,168600.000000,159000.000000,159800.000000,157884.140625,997025
2014-07-17,160200.000000,161000.000000,156000.000000,156400.000000,154524.890625,909720
2014-07-18,156000.000000,157000.000000,152200.000000,156600.000000,154722.500000,732710
2014-07-21,158400.000000,158600.000000,152600.000000,153200.000000,151363.265625,727845
2014-07-22,154000.000000,156600.000000,153400.000000,156600.000000,154722.500000,411600
2014-07-23,156600.000000,157400.000000,150600.000000,151800.000000,149980.031250,948005
2014-07-24,151000.000000,153600.000000,150000.000000,150800.000000,148992.046875,811115
2014-07-25,151600.000000,153800.000000,150800.000000,151400.000000,149584.828125,702430
2014-07-28,151800.000000,153400.000000,151400.000000,152800.000000,150968.062500,485085
2014-07-29,151600.000000,152000.000000,145800.000000,146800.000000,145039.984375,1011265
