Date,Open,High,Low,Close,Adj Close,Volume,next_price,next_rtn,log_return,CCI,MA5,MA10,RASD5,RASD10,MACD,ATR,ub,middle,lb,MTM1,MTM3,ROC,WPR,S&P500,SOX,VIX,KOSPI
2013-08-22,34500.0,34500.0,34500.0,34500.0,31745.328125,30,31331.255859375,0.0,0.0,-46.38659664916233,34410.0,34630.0,260.0686718844289,455.7096805571953,-217.5376231934788,790.259344856873,36969.915141722995,35055.0,33140.084858277005,0.0,50.0,-9.329829172141924,-71.64179104477611,1656.9599609375,463.8299865722656,14.760000228881836,1849.1199951171875
2013-08-23,34050.0,34150.0,34000.0,34050.0,31331.255859375,2950,31331.255859375,0.0,-0.013129379799000014,-70.68449411295185,34410.0,34395.0,188.99101327283338,467.2030174565672,-254.3422827479444,769.5265345099534,36972.003754132325,35007.5,33042.996245867675,-450.0,-500.0,-9.92063492063492,-85.07462686567165,1663.5,463.82000732421875,13.979999542236328,1870.1600341796875
2013-08-26,34300.0,34300.0,34050.0,34050.0,31331.255859375,850,31285.244140625,-0.007288629737609353,0.0,-60.5878268919232,34330.0,34255.0,205.46651612415408,451.0736573696774,-280.2793546752582,732.417496330671,36981.883530731655,34990.0,32998.116469268345,0.0,-450.0,-9.441489361702127,-85.07462686567165,1656.780029296875,462.9200134277344,14.989999771118164,1887.8599853515625
2013-08-27,34050.0,34500.0,34000.0,34000.0,31285.244140625,6230,31469.279296875,-0.001468428781204123,-0.0014696358637565831,-52.97010972379908,34220.0,34235.0,209.3835419620669,387.9037596855198,-301.39495969323616,715.816246592766,36986.27459385263,34985.0,32983.72540614737,-50.0,-500.0,-9.454061251664447,-86.56716417910448,1630.47998046875,451.2099914550781,16.770000457763672,1885.8399658203125
2013-08-28,34000.0,34200.0,34000.0,34200.0,31469.279296875,6520,32205.40234375,0.00588235294117645,0.005865256359386718,-52.71502179944448,34160.0,34240.0,201.39276082442083,305.3528427718771,-298.54940852848085,678.972228978997,36986.27459385263,34985.0,32983.72540614737,200.0,150.0,-8.921438082556588,-78.68852459016394,1634.9599609375,456.3900146484375,16.489999771118164,1884.52001953125
2013-08-29,34200.0,35000.0,34000.0,35000.0,32205.40234375,4790,31837.34765625,0.023391812865497075,0.02312240358933768,72.85513361462587,34260.0,34335.0,240.04780976727935,250.05824082585463,-229.10005182072928,701.9027840519258,36988.718378888225,34987.5,32986.281621111775,800.0,950.0,-11.16751269035533,-32.55813953488372,1638.1700439453125,461.82000732421875,16.809999465942383,1907.5400390625
2013-08-30,35000.0,35500.0,34000.0,34600.0,31837.34765625,6550,32159.3984375,-0.011428571428571455,-0.011494157875488948,103.48399246704138,34370.0,34390.0,279.2856572882709,234.13833528055267,-203.98616776968993,758.9097280482167,36785.211628363344,34895.0,33004.788371636656,-400.0,600.0,-12.182741116751272,-46.15384615384615,1632.969970703125,457.70001220703125,17.010000228881836,1926.3599853515625
2013-09-02,34200.0,34950.0,34200.0,34950.0,32159.3984375,420,31837.34765625,0.021929824561403466,0.01006468358130026,85.30150753768869,34550.0,34440.0,312.91470518095923,259.19061065255715,-154.065191173926,758.2733189019156,36571.39944044755,34820.0,33068.60055955245,350.0,750.0,-10.61381074168798,-28.205128205128204,,,,1924.81005859375
2013-09-03,34600.0,34600.0,34600.0,34600.0,31837.34765625,10,31377.26171875,0.0,-0.010064683581300277,52.3605150214597,34670.0,34445.0,324.8726545954442,267.12809827875606,-141.11781416955637,729.1109389803502,36298.689931339715,34725.0,33151.310068660285,-350.0,-400.0,-14.356435643564359,-46.15384615384615,1639.77001953125,461.6400146484375,16.610000610351562,1933.739990234375
2013-09-04,34300.0,34300.0,34100.0,34100.0,31377.26171875,160,31469.279296875,-0.005830903790087438,-0.014556573745685615,-54.919236417035115,34650.0,34405.0,352.81938281683847,277.1060718206301,-169.25171749469155,712.7458719103251,36032.77995471794,34615.0,33197.22004528206,-500.0,-500.0,-15.802469135802466,-71.7948717948718,1653.0799560546875,473.55999755859375,15.880000114440918,1933.030029296875
2013-09-05,34100.0,34300.0,34100.0,34200.0,31469.279296875,210,31515.29296875,0.0029325513196480912,0.002928328031836902,-56.459330143539795,34490.0,34375.0,339.06216609193467,289.5549879296075,-181.38794696600962,676.1211667738734,35651.61922793068,34502.5,33353.38077206932,100.0,-750.0,-15.763546798029559,-81.25,1655.0799560546875,477.0400085449219,15.770000457763672,1951.6500244140625
2013-09-06,34400.0,35450.0,34200.0,34250.0,31515.29296875,1180,32435.4453125,-0.0043604651162790775,0.0014611095513020335,52.238805970149535,34420.0,34395.0,326.07425867837935,302.6799579833256,-184.8406857601658,717.1125120043109,35147.92761936324,34395.0,33642.07238063676,50.0,-350.0,-14.375000000000004,-83.33333333333333,1655.1700439453125,475.1000061035156,15.850000381469727,1955.31005859375
2013-09-09,34500.0,35400.0,34250.0,35250.0,32435.4453125,1360,32849.51171875,0.021739130434782705,0.028778896862256646,133.99036355672288,34480.0,34515.0,330.6234365787749,321.7690708798675,-105.66729665859748,748.0330468611459,35085.07142492748,34385.0,33684.92857507252,1000.0,1150.0,-12.747524752475247,-16.666666666666668,1671.7099609375,481.4200134277344,15.630000114440918,1974.6700439453125
2013-09-10,35250.0,36000.0,35000.0,35700.0,32849.51171875,8500,32849.51171875,0.012765957446808418,0.01268506490254516,219.90049751243677,34700.0,34685.0,402.8730077316439,363.8728311635445,-6.535241987476184,766.030686371064,35358.10912477271,34460.0,33561.89087522729,450.0,1500.0,-11.633663366336632,-15.0,1683.989990234375,490.6499938964844,14.529999732971191,1994.06005859375
2013-09-11,35900.0,35900.0,34950.0,35700.0,32849.51171875,6830,32067.380859375,-0.005571030640668551,0.0,163.43796711509674,35020.0,34835.0,472.3301621423783,412.5747724796089,71.20679790571012,779.1713516302736,35572.33090406114,34537.5,33502.66909593886,0.0,1450.0,-9.390862944162437,-15.0,1689.1300048828125,489.0400085449219,13.819999694824219,2003.8499755859375
2013-09-12,36400.0,36400.0,34850.0,34850.0,32067.380859375,1870,31607.306640625,-0.04258241758241754,-0.024097539977744706,117.07246376811501,35150.0,34820.0,520.9718677156126,430.0170169037741,63.49806223336054,834.2305407995399,35595.57416232807,34577.5,33559.42583767193,-850.0,-400.0,-9.00783289817232,-64.58333333333333,1683.4200439453125,486.05999755859375,14.289999961853027,2004.06005859375
2013-09-13,34650.0,35050.0,34050.0,34350.0,31607.306640625,1850,31561.298828125,-0.008658008658008698,-0.014451024207830216,-39.780018331805785,35170.0,34795.0,561.8238620019818,443.94906034018106,16.848789985982876,846.0712164567157,35587.625620210834,34592.5,33597.374379789166,-500.0,-1350.0,-9.006622516556295,-85.41666666666667,1687.989990234375,488.2300109863281,14.15999984741211,1994.3199462890625
2013-09-16,34450.0,34450.0,34100.0,34300.0,31561.298828125,3050,31377.26171875,-0.004354136429608135,-0.0014566672888801392,-78.21108016094121,34980.0,34730.0,601.4855931977158,466.05451488824593,-23.88039812790521,810.6375581383788,35586.54880060834,34585.0,33583.45119939166,-50.0,-1400.0,-11.254851228978001,-87.5,1697.5999755859375,490.3500061035156,14.380000114440918,2013.3699951171875
2013-09-17,34050.0,34450.0,34050.0,34100.0,31377.26171875,870,31561.298828125,0.001468428781204123,-0.0058481678734856836,-94.94855004677305,34660.0,34680.0,586.5433965826371,494.70820215714105,-71.47300536097464,781.3063039856376,35586.157657618016,34562.5,33538.842342381984,-200.0,-750.0,-9.54907161803713,-95.83333333333333,1704.760009765625,493.3999938964844,14.529999732971191,2005.5799560546875
